client_id,nom_complet,age,revenu_mensuel,sexe,profession,adresse,date_achat,produit,achat
1020,Alexandria Munoz,35,2824.06,F,comptable,"460, rue de Bernier, 98694 Robin",2024-10-21,C491,0
1021,Louise Morin,72,2289.0,F,autre,"762, rue Bonneau, 77914 Sainte AdrienneVille",2025-02-26,B278,1
1022,Gérard Lesage-Nguyen,64,3593.47,M,autre,"96, boulevard de Hamon, 20540 Masson",2024-07-20,D583,0
1023,Amélie Hervé,38,2968.06,M,étudiant,"397, rue de Bouvet, 77567 Garcia",2023-11-18,D800,1
1024,Marthe-Amélie Vasseur,74,3005.44,M,retraité,"44, rue Hugues Duval, 07089 Lévêque",2024-07-28,B532,0
1025,Nicolas Bonneau,50,2281.66,M,ouvrier,"rue Regnier, 49919 Lagarde-sur-Mer",2025-02-20,C918,0
1026,Marthe Joseph,42,2669.67,M,étudiant,"39, chemin Roger Bigot, 32589 Pereira",2024-12-13,C180,0
1027,André Ruiz,66,3134.33,M,comptable,"10, rue de Cousin, 44844 Guilbertdan",2024-02-04,C255,1
1028,Michelle Berger,45,5050.1,M,ingénieur,"17, rue Monnier, 50493 Leconte-la-Forêt",2024-12-15,D990,1
1029,Gérard Meyer,55,2620.73,F,étudiant,"24, avenue Gilbert, 58188 Antoine",2025-02-27,C453,1
1030,Marc Fischer,61,3457.41,F,retraité,"27, chemin Maillet, 23734 Saint Christophe",2024-07-05,B573,1
1031,Georges Prévost,24,1694.22,M,enseignant,"579, avenue Philippine Bazin, 92160 Mallet",2025-02-14,C807,1
1032,Antoine Marie,46,3565.83,F,étudiant,"19, rue de Diallo, 34131 LebretonVille",2024-02-01,B532,1
1033,Sébastien de Laine,52,3472.03,M,médecin,"6, boulevard Marthe Laine, 97565 Boulanger",2023-11-03,A488,1
1034,Richard de Albert,35,1931.6,M,autre,"82, boulevard Joséphine Guillaume, 86293 Merle",2024-09-25,A761,1
1035,Victoire Traore,24,4102.47,M,ouvrier,"1, rue Aurélie Lefebvre, 46127 Sainte Patricianec",2023-08-02,B453,0
1036,Audrey Lombard,73,2372.84,M,enseignant,"avenue Paulette Royer, 65636 Petitjeannec",2024-05-12,D967,1
1037,Théophile Le Marin,67,1682.48,F,ouvrier,"20, avenue Martins, 56713 Seguin",2024-01-23,D883,1
1038,Benoît de la Camus,64,2948.51,M,comptable,"78, boulevard Roche, 25130 Bouchet",2024-02-22,D854,1
1039,Rémy Lefèvre,53,3125.7,F,comptable,"23, rue Michèle Jourdan, 92864 Schmitt",2024-04-19,B595,0
1040,Antoine Ferrand Le Brun,79,2552.89,F,autre,"20, rue de Morel, 18217 Saint Élise",2024-03-02,A646,0
1041,Henriette Ledoux,44,2978.48,F,autre,"36, rue Boulay, 74707 Saint Paulette",2024-05-15,D218,1
1042,Constance-Agnès Germain,30,3056.69,M,enseignant,"4, avenue de Martins, 40646 Sainte Pénélopenec",2023-08-03,D889,1
1043,Margot de la Grenier,75,1879.93,M,médecin,"47, rue Martine Bazin, 00477 Sainte Clémence",2025-05-13,A692,0
1044,Dominique Gilles,52,3946.33,F,médecin,"5, chemin Denise Hoareau, 82120 Jourdan",2024-12-05,B679,0
1045,Lorraine Gomez-Menard,18,2493.12,M,ouvrier,"828, chemin de Lambert, 41979 Vasseur-la-Forêt",2023-10-17,D133,1
1046,Suzanne Fabre,21,2223.63,M,retraité,"806, rue David Perrier, 44749 Antoine",2025-02-28,B951,1
1047,Eugène Torres,61,2062.73,M,étudiant,"46, avenue Margaud Coste, 23155 Saint Christianeboeuf",2025-05-21,C904,0
1048,Thierry De Sousa,35,2694.85,F,comptable,"94, boulevard Faure, 28041 Poirier-la-Forêt",2023-07-01,A836,0
1049,Stéphane du Laroche,29,2290.58,F,comptable,"195, boulevard Christelle Samson, 83166 Étienne-sur-Briand",2024-06-09,C937,1
1050,Jules Pereira-Delattre,30,3581.29,M,retraité,"3, boulevard de Da Silva, 71227 Denis-la-Forêt",2025-03-31,A154,1
1051,Rémy Alexandre,72,3872.67,F,retraité,"8, boulevard Xavier Cohen, 00148 GrenierBourg",2023-07-13,D645,0
1052,François Mary,60,1876.04,F,ouvrier,"751, avenue Goncalves, 50113 Rousset",2025-02-20,A391,1
1053,Alice Brunel-Fournier,40,2204.8,F,enseignant,"923, avenue Bouvet, 19725 Garnier-la-Forêt",2025-03-21,C515,0
1054,Rémy Valentin,51,3322.12,M,médecin,"43, avenue Gérard Bourdon, 46309 Giraud",2025-06-06,B708,1
1055,Xavier Vincent,47,3874.11,F,ouvrier,"69, boulevard de Verdier, 81616 Tanguy-sur-Samson",2024-02-22,B841,1
1056,Sylvie Leclercq-Pierre,28,3050.61,F,ingénieur,"32, chemin Fernandez, 10029 Petit-sur-Guibert",2023-10-03,A205,1
1057,Noémi Bourgeois-Devaux,30,3451.28,F,retraité,"71, chemin Inès Hoareau, 45996 Muller",2024-10-19,B490,0
1058,Brigitte Bertin,73,2822.06,F,comptable,"boulevard René Chauvin, 81819 Leconte-les-Bains",2023-11-07,A222,1
1059,Suzanne Chevalier,72,2972.95,M,ingénieur,"67, chemin Dumas, 25026 Prévost",2024-08-16,C937,1
1060,Gilles Lesage,30,3520.03,F,ingénieur,"797, avenue de Guichard, 01835 Mace",2025-01-07,D989,0
1061,Patrick Gomez,43,4557.44,M,enseignant,"57, avenue Turpin, 55971 Sainte Lucasnec",2023-09-22,A801,1
1062,Claude Marques,77,2880.44,M,étudiant,"7, avenue de Gauthier, 31333 Maurice-la-Forêt",2024-08-25,D593,1
1063,Cécile Pruvost,76,3008.27,M,enseignant,"rue de Perrin, 90194 Sainte David-la-Forêt",2023-12-04,D332,1
1064,Jean Dumont Le Paris,39,3212.25,F,ouvrier,"49, chemin de Perret, 12697 Ribeiro",2023-12-23,C595,1
1065,Margaux Lévêque,18,2895.4,F,ouvrier,"4, boulevard de Gilles, 97940 Saint Paul",2025-04-16,B964,0
1066,Grégoire Voisin,37,4023.94,F,enseignant,"794, rue Marchal, 36424 Turpin",2023-10-27,D625,1
1067,Anouk Blot,49,3125.21,F,médecin,"51, rue de Ferreira, 33657 Pierre",2025-06-08,B101,1
1068,Corinne Legendre-Guillaume,78,1747.11,M,ouvrier,"8, rue de Michel, 57843 Garnier",2025-04-10,B205,1
1069,Cécile Fouquet-De Sousa,59,3930.77,F,médecin,"981, rue de Boulay, 56821 Sainte Alexandriaboeuf",2024-06-01,B871,1
1070,Victor-Richard Torres,28,2208.45,M,ouvrier,"9, rue de Dufour, 45623 Vallée-sur-Baudry",2025-06-13,B954,1
1071,Lucy Monnier,39,1440.52,F,retraité,"276, rue Blanc, 97796 GauthierBourg",2023-07-21,A850,1
1072,Emmanuelle-Gabrielle Berthelot,59,2317.41,F,retraité,"571, rue de Bouchet, 30497 Allard-les-Bains",2024-08-21,B956,0
1073,Aimée Perret,51,2399.52,F,autre,"3, rue de Besson, 27346 Lebreton",2024-03-28,C342,1
1074,Jeanne Adam,75,2405.64,F,retraité,"91, chemin de Navarro, 91872 Brun",2024-04-20,A587,1
1075,Bernadette Gros,64,2974.59,M,comptable,"34, avenue Sanchez, 83723 Munoz",2025-02-16,A682,0
1076,Marie Vallet,35,1078.47,M,enseignant,"3, boulevard Gauthier, 58908 Saint Françoisedan",2025-06-01,A213,1
1077,Françoise Girard,37,3563.63,F,autre,"5, chemin Émile Leroux, 17097 Saint Josette",2025-05-14,C866,1
1078,Anne Faure,63,1407.26,M,enseignant,"1, rue Cohen, 06620 Grenier-sur-Bouchet",2025-05-11,B276,1
1079,Zacharie Schneider,77,2497.87,F,retraité,"16, rue Navarro, 95988 Sainte Théophilenec",2024-12-05,C307,1
1080,Monique Dumont du Roy,71,2386.73,F,médecin,"48, avenue Briand, 58690 Potier-sur-Gautier",2025-04-22,D225,0
1081,Aimée-Jacqueline Raynaud,44,2539.61,F,médecin,"34, rue Yves Lecomte, 90541 Mauriceboeuf",2023-10-29,B192,1
1082,Richard Delannoy,69,3722.8,M,ouvrier,"5, chemin Anastasie Gay, 49464 PerrierVille",2024-06-03,D167,1
1083,Léon Navarro,54,3192.59,F,ingénieur,"8, rue de Bousquet, 01788 Weiss",2023-08-02,A939,1
1084,Paulette Delorme,52,3317.32,F,médecin,"4, rue de Pasquier, 20530 Grosboeuf",2024-11-09,C711,1
1085,Xavier Moreau,19,3062.6,F,autre,"272, rue de Guillou, 27770 Colas",2023-11-13,A139,0
1086,Élise du Buisson,47,3261.87,F,étudiant,"523, boulevard de Hardy, 46264 Goncalves",2025-04-03,C577,0
1087,Margot Clerc,55,3436.22,F,autre,"boulevard Léon Charles, 99627 Pelletiernec",2025-01-09,C657,1
1088,Paul Le Godard,65,3690.45,M,retraité,"61, rue Tanguy, 91297 Sainte Emmanuel-la-Forêt",2025-04-05,C612,1
1089,Luce Roger,71,2246.15,F,médecin,"871, avenue Alice Vaillant, 91847 Samson",2024-12-07,C398,1
1090,Georges Coste-Foucher,22,3642.41,M,ouvrier,"3, rue Chantal Toussaint, 44253 MathieuBourg",2023-09-05,A810,0
1091,Édith-Paulette Benard,73,2822.28,F,comptable,"42, boulevard de Le Roux, 56307 Le Goff-sur-Gonzalez",2024-06-01,B340,0
1092,Élise-Nath Diaz,60,4076.66,M,retraité,"414, boulevard Margot Alves, 67884 Lecoq-la-Forêt",2024-11-25,A272,1
1093,Roland Auger-Toussaint,67,2778.91,F,médecin,"5, rue de Roger, 61588 Carlier-sur-Mer",2025-01-30,C751,1
1094,Suzanne Dos Santos-Duhamel,19,4114.08,M,ingénieur,"35, rue de Guibert, 86104 Dumasboeuf",2024-06-01,B662,0
1095,Alex Raynaud de la Leclercq,40,3307.9,M,étudiant,"894, chemin de Étienne, 02504 LabbéBourg",2024-12-14,A526,0
1096,Jacqueline Roux,52,1223.01,F,retraité,"85, boulevard de Gilbert, 04364 Pasquier",2023-07-25,A931,0
1097,Isabelle Delmas,62,2554.92,F,autre,"34, rue de Daniel, 04446 Gay",2023-12-18,C350,1
1098,Nathalie-Maggie Couturier,30,3192.89,F,médecin,"boulevard de Julien, 81958 Cordier",2024-08-26,A161,0
1099,Paulette-Alix Le Goff,48,2570.39,M,ouvrier,"22, chemin de Pires, 14006 Becker-les-Bains",2023-10-26,D943,0
1100,Thierry-Denis Joubert,58,2431.38,M,comptable,"rue Delaunay, 87052 Saint Brigitte",2023-10-14,D725,1
1101,Josette Samson,52,2869.43,M,ingénieur,"85, boulevard Menard, 66819 Sainte ThérèseVille",2023-08-06,B347,1
1102,Xavier Roy,77,2026.65,M,enseignant,"15, avenue de Barbe, 79334 Ribeiro",2023-09-14,A511,0
1103,Gérard Lecomte,78,3548.23,M,ingénieur,"59, rue Foucher, 65754 Morvan",2025-05-04,C171,1
1104,Louise Daniel,62,3696.08,M,retraité,"rue Robert, 68892 Berger",2024-04-30,A723,1
1105,Honoré de la Salmon,44,3309.47,F,enseignant,"24, rue Vaillant, 13636 Lopez",2025-06-19,A628,1
1106,Jacques-Joseph Sauvage,39,4045.72,M,étudiant,"55, chemin Meyer, 69531 Letellier-sur-Mer",2025-05-18,D808,0
1107,Noémi Collin,57,3310.83,M,comptable,"41, rue Deschamps, 32384 Guyon",2023-11-25,B280,1
1108,Jean Lopes-Guyot,24,2720.15,F,retraité,"49, rue Benjamin Mace, 23560 Lejeune",2024-11-04,C388,0
1109,Marine Germain,28,3647.86,F,enseignant,"62, avenue de Petit, 17282 Guibert",2025-06-13,A889,1
1110,Nath Dupré,36,3309.17,F,enseignant,"49, chemin Augustin Muller, 71313 Martel",2024-06-04,A821,0
1111,Sébastien Brunet,21,4570.64,M,étudiant,"599, rue de Guibert, 38129 Langlois-sur-Delannoy",2025-03-11,A737,1
1112,Pauline Collin,78,3056.55,F,comptable,"30, boulevard Anastasie Voisin, 11959 Gimeneznec",2024-03-04,A520,1
1113,Valentine Guyon,54,1614.03,F,médecin,"34, chemin de Rossi, 28904 Saint François-les-Bains",2025-04-16,A519,0
1114,William-André Rodrigues,52,3818.18,M,autre,"600, avenue de Arnaud, 66008 Sainte Célinaboeuf",2025-02-19,B487,1
1115,Margaud Goncalves,66,3103.67,M,médecin,"66, chemin Daniel Jean, 90318 Ruiz",2024-02-18,A891,1
1116,Laurent Roche,59,391.22,M,enseignant,"5, boulevard Gilles, 12721 Légerboeuf",2023-11-02,C261,1
1117,Noémi Couturier,37,3473.08,F,ingénieur,"93, avenue Raymond Blin, 46315 Gros",2025-06-05,B284,0
1118,Théophile Michaud-Texier,53,3484.24,F,étudiant,"72, rue de Chauveau, 08737 Laporte",2023-12-26,A598,0
1119,Julien-Yves Guillot,27,4754.85,M,retraité,"avenue de Perez, 90122 Gilles",2024-09-11,D649,0
1120,Roland Benoit Le Hamon,44,3375.84,M,enseignant,"rue Rémy, 98220 Bazin-les-Bains",2024-05-29,B332,0
1121,Suzanne Maillard,50,4426.86,M,ouvrier,"6, rue Diallo, 36513 Antoine",2025-01-22,C275,1
1122,Frédéric Jacques,45,3972.03,M,médecin,"49, rue de Boucher, 39759 Sainte Sabine",2025-03-04,B970,0
1123,Nathalie Garnier,63,2490.31,M,enseignant,"4, rue André Descamps, 01640 Sainte Laure-sur-Mer",2025-04-21,C706,0
1124,Tristan Charrier,22,2799.56,M,médecin,"582, avenue Victoire Chrétien, 33488 Saint Pénélopedan",2025-04-21,C970,0
1125,André-Maurice Gimenez,41,3832.57,F,comptable,"68, boulevard Pineau, 44530 Sainte Thibault",2025-06-21,D149,0
1126,Nathalie Cordier,69,2551.67,F,retraité,"229, boulevard de Royer, 30213 Georges",2024-06-10,B909,1
1127,Pierre Bonnet,28,2006.19,F,étudiant,"chemin Amélie Bourgeois, 42036 MaillardVille",2024-05-17,B193,0
1128,Laurent Marion,42,3433.22,F,étudiant,"chemin de Mathieu, 03650 Lesage-sur-Roux",2025-04-28,A755,0
1129,Joséphine Laporte,27,3790.09,M,enseignant,"avenue Dorothée Roger, 17126 Bouchetdan",2023-11-29,A957,0
1130,Victoire Duhamel,78,2297.41,M,ingénieur,"91, chemin Alex Breton, 49262 David-sur-Martins",2024-12-04,D900,1
1131,Suzanne Gonzalez Le Rossi,39,3472.64,F,étudiant,"3, rue de Lamy, 18185 Brunel",2024-06-30,A370,0
1132,Benoît Ribeiro,37,3715.61,M,ouvrier,"45, boulevard de Thomas, 18834 Peron",2024-04-26,A160,1
1133,Étienne-Sébastien Gillet,25,3604.34,M,autre,"12, boulevard de Lopes, 76748 Verdier",2024-04-07,D534,1
1134,Zacharie de la Roger,32,3938.79,F,ingénieur,"525, chemin de Fabre, 44017 Maheboeuf",2024-09-17,B731,1
1135,Timothée Rivière,78,4234.02,F,retraité,"boulevard de Rousset, 57316 Pons",2023-08-25,B411,0
1136,Christine Blondel,38,3746.94,F,enseignant,"95, avenue de Hardy, 13860 WeissBourg",2023-11-28,C350,1
1137,Marcelle Delorme-Lebrun,52,1946.87,M,enseignant,"94, rue de Marchand, 48276 Barbe",2024-08-31,B614,0
1138,Isabelle-Cécile Langlois,25,2631.77,M,médecin,"6, rue de Grenier, 46202 GuillaumeVille",2025-03-24,B892,1
1139,Odette Gros,37,3127.77,M,comptable,"rue de Hamon, 27662 Grégoire",2024-01-31,B764,0
1140,Alfred Antoine,78,2603.92,M,autre,"rue Marine Aubert, 37615 Dupuy-sur-Mer",2025-04-04,A496,1
1141,Océane Jacques,38,4241.07,F,enseignant,"762, rue Duval, 65544 GeorgesVille",2023-07-01,C300,1
1142,Henriette Bazin,41,2328.85,F,ouvrier,"270, rue Alexandria Bailly, 08792 Maréchal-sur-Mer",2024-11-16,A526,0
1143,Joseph Aubert du Bernard,49,3168.32,F,médecin,"14, boulevard Bodin, 52483 Julien-les-Bains",2024-12-06,A685,0
1144,Henri Wagner de la Denis,27,2013.58,M,retraité,"42, rue Antoinette Grondin, 61834 Jacquot",2024-07-05,D825,1
1145,Christophe Reynaud,76,2145.32,F,ingénieur,"avenue Théodore Fontaine, 70144 Bretonnec",2023-11-26,A374,1
1146,Paul Payet-Caron,42,456.02,F,étudiant,"114, chemin de Allard, 84724 Martin",2024-05-17,A849,0
1147,Françoise Maurice,38,2510.94,M,ouvrier,"3, avenue de Da Silva, 75865 Gilbertnec",2025-03-31,A329,1
1148,Augustin Joseph de la Toussaint,21,4694.79,M,comptable,"74, avenue Daniel, 05749 RibeiroVille",2025-03-27,D262,1
1149,Bernadette Maillot,71,3503.58,F,ingénieur,"7, rue Chantal Barbe, 35741 LenoirVille",2024-11-02,C926,1
1150,Inès Hamon,57,2127.67,F,comptable,"15, chemin Valérie Perret, 76633 Sainte Gilbert",2025-02-04,C541,0
1151,Alex du Charles,56,2930.01,F,ouvrier,"4, avenue Vaillant, 70693 Davidnec",2023-07-26,A802,0
1152,Alphonse Guyon,62,4484.41,M,enseignant,"36, avenue Bernadette Bouvet, 99777 Sainte Alphonsenec",2024-05-19,A158,0
1153,Cécile Guillaume,50,2021.52,F,ouvrier,"955, rue de Normand, 17626 Sainte Valérie",2024-08-04,B653,0
1154,Rémy Valette,53,4455.39,M,enseignant,"80, rue Augustin Marty, 73198 Alexandredan",2024-02-24,C707,1
1155,Denise Philippe de la Grondin,18,3480.71,M,étudiant,"457, rue de Maillard, 86612 Royer",2025-01-12,B212,0
1156,Monique Gaudin,19,3710.25,M,ingénieur,"225, chemin Julien Guillot, 14329 Raymondboeuf",2023-11-17,C768,1
1157,Yves Menard,76,3276.63,M,médecin,"11, rue de Millet, 20329 Barbedan",2024-02-09,B992,1
1158,Alphonse Descamps,20,2428.14,F,comptable,"52, chemin de Germain, 81924 Boucher-sur-Carre",2024-03-09,C682,0
1159,Danielle Bodin,50,2793.36,M,autre,"46, chemin Leconte, 73541 Sainte Margaret",2023-11-28,A878,1
1160,Christelle Richard-Bernard,27,2050.54,M,retraité,"chemin Henriette Menard, 00402 Charriernec",2025-04-09,C808,1
1161,Lorraine Morin,60,3212.99,F,retraité,"43, avenue de Huet, 50299 Meunier-sur-Mer",2024-11-06,D719,1
1162,Émile Lelièvre,22,3306.65,F,ouvrier,"43, boulevard Manon Lemaître, 90896 Carpentier-sur-Picard",2024-11-16,D503,1
1163,Julie Sanchez,40,2091.61,F,médecin,"5, rue de Chauveau, 59418 Camus",2024-04-17,B685,1
1164,Noël Le Peltier,69,3672.94,M,ingénieur,"74, rue Teixeira, 65866 Carpentier-sur-Marie",2024-05-05,C685,1
1165,Antoinette Lecoq,79,2292.6,M,ingénieur,"687, boulevard de Maillet, 01834 Berthelot-les-Bains",2023-07-22,C447,1
1166,Gabriel David,67,3139.34,M,comptable,"38, rue de Millet, 17639 Duhamel-sur-Rocher",2023-07-01,B961,0
1167,Cécile Le Legendre,59,2451.86,M,autre,"98, boulevard Julien, 39850 Lenoir",2024-06-02,A234,0
1168,Matthieu-Noël Rousset,27,4036.93,M,ouvrier,"19, boulevard de Riou, 07455 Hamon-sur-Mer",2024-05-27,B673,0
1169,Jeannine Sauvage,44,4676.02,F,enseignant,"427, rue Pelletier, 87869 Sainte Antoinedan",2025-04-09,A968,1
1170,Auguste Mathieu,55,3622.72,M,ouvrier,"777, avenue Charles, 31981 Sainte Timothée",2024-08-09,D144,0
1171,Emmanuelle Hoareau du Gilbert,43,1700.66,F,ingénieur,"59, rue Joseph, 86711 Guillaumenec",2024-12-13,B248,0
1172,Laurent Brunet,21,2706.65,F,comptable,"43, chemin Benjamin Maurice, 28423 GaillardBourg",2024-03-03,A313,1
1173,Isaac-Auguste Chevalier,38,2035.17,M,ingénieur,"350, boulevard Pierre Perrier, 44204 Brunel",2023-09-22,A410,0
1174,Charles Buisson,76,3258.13,M,comptable,"44, chemin de Lévêque, 11943 LeclercVille",2025-05-27,C839,1
1175,Joseph Paris,37,2774.98,F,enseignant,"1, boulevard Brigitte Fleury, 44203 Michaudboeuf",2023-10-10,C431,1
1176,Julie Pinto,24,3231.83,F,comptable,"74, chemin Joseph Jourdan, 46417 Maréchal-les-Bains",2023-11-18,B382,1
1177,Bernadette Allain,67,1415.18,M,ingénieur,"5, rue Michèle Lejeune, 62899 Sainte Honoré",2024-12-26,B896,1
1178,Victoire-Chantal Godard,75,2859.66,F,médecin,"98, boulevard Martine Paris, 35568 Le Goff",2023-10-31,B823,1
1179,Marthe Bègue,70,4079.03,M,ouvrier,"67, boulevard de Alves, 37516 Bigot-la-Forêt",2023-09-16,A799,0
1180,Nathalie Michaud,74,3416.12,F,ouvrier,"60, boulevard de Arnaud, 64079 Rocher",2025-06-16,C984,1
1181,Nathalie Regnier de Bruneau,32,3891.2,F,comptable,"77, boulevard de Grenier, 08527 Saint GilbertVille",2025-03-17,B350,1
1182,Benjamin Moulin du Schneider,52,2358.84,F,autre,"36, boulevard Roux, 19982 Bourdonboeuf",2023-09-01,B995,0
1183,Claudine Ferreira,28,1540.6,F,ingénieur,"52, chemin de Andre, 31280 Bouvet-sur-Dupont",2024-12-15,A847,0
1184,Anne Rivière,42,1277.3,M,ouvrier,"76, rue Antoine Voisin, 53854 Colas-sur-Mer",2025-05-07,C958,1
1185,Tristan Pichon-Ferrand,41,3530.63,M,autre,"84, boulevard Lenoir, 73765 Jacquotnec",2025-05-18,D819,1
1186,Augustin Breton,56,2081.17,M,ingénieur,"20, boulevard de Picard, 85255 Sainte Dominique",2025-04-08,B747,0
1187,Yves de Lagarde,32,2692.33,F,comptable,"20, chemin Maurice Texier, 15141 Dupontdan",2023-09-01,C504,1
1188,Michelle Salmon,75,3080.52,M,ouvrier,"34, rue Dias, 64221 Saint Marcelledan",2023-11-09,A187,1
1189,Victor Girard,40,3441.08,M,médecin,"62, boulevard Clémence Lenoir, 12741 Pires",2024-09-10,D958,1
1190,Christophe Albert,74,2450.58,F,comptable,"98, chemin Nicolas Allard, 21657 Hernandez",2024-09-08,D676,0
1191,Adrien du Salmon,56,2602.03,M,ouvrier,"54, rue Couturier, 27020 Huet-la-Forêt",2025-03-05,C944,1
1192,Cécile-Paulette Julien,65,2896.25,F,étudiant,"830, avenue Loiseau, 77314 Tanguyboeuf",2023-10-11,A512,0
1193,Pierre Voisin,43,4641.99,F,comptable,"19, rue Brunet, 69109 Blanc-sur-Blanchet",2023-10-06,D626,1
1194,Laure-Dominique Nguyen,43,1564.64,F,retraité,"13, avenue Rodriguez, 27784 DiasVille",2025-03-14,C883,1
1195,Caroline Rolland,64,2910.54,M,ouvrier,"rue Anouk Guyon, 08212 Hamon-sur-Gilbert",2023-09-17,B168,0
1196,Diane Martinez-Monnier,37,2367.05,M,ouvrier,"3, rue de Delannoy, 13160 Fabre",2024-01-22,B929,1
1197,Arthur Monnier-Roy,31,2805.13,M,étudiant,"387, rue de Samson, 74231 Reynaudnec",2024-07-31,A280,0
1198,Emmanuel Blanc,69,2544.41,M,ingénieur,"2, avenue de Dumas, 67736 Fernandesdan",2025-01-06,D603,1
1199,Thomas Carlier de Vincent,48,5074.65,M,comptable,"avenue de Leclercq, 08783 Mahe",2023-10-05,A697,1
1200,Louis Fleury de la Lopes,50,3046.64,M,ouvrier,"5, boulevard Richard, 77333 Barthelemydan",2024-09-24,A479,1
1201,Gilbert Diallo,76,3239.19,F,enseignant,"236, chemin Guillet, 36191 Baudry-la-Forêt",2024-02-06,B924,0
1202,Stéphanie Jacob-Jacquet,20,3771.85,F,médecin,"rue Claire Delmas, 53584 Fouquetdan",2024-08-31,B944,1
1203,Océane Poulain,48,2992.7,M,médecin,"4, boulevard de Lecoq, 76582 Saint Adrienne-les-Bains",2024-01-31,C107,0
1204,Adrien Lamy,59,1221.94,M,autre,"24, rue Yves Colas, 39898 Michaud-sur-Lemaître",2025-03-14,A821,1
1205,Julien Leconte,78,4226.08,F,enseignant,"40, chemin Hardy, 00270 Saint Moniquedan",2025-01-22,B657,0
1206,Christiane Jacquet,51,3032.49,F,médecin,"77, chemin Coste, 25578 De Sousa-la-Forêt",2024-05-21,D350,1
1207,Pauline Blanc,62,1875.58,M,médecin,"47, boulevard Imbert, 37192 Ramos",2025-06-18,A408,1
1208,Laurent Lopez-Leroy,27,2508.96,M,étudiant,"50, avenue Gay, 07484 Saint Pierre-sur-Mer",2024-07-27,B643,1
1209,Louis Guérin de la Merle,51,1039.24,M,retraité,"88, rue de Lemoine, 94606 Barre-sur-Gauthier",2023-07-30,A297,1
1210,Franck Bonnet,61,2786.37,F,comptable,"boulevard de Auger, 75233 Boyer",2025-01-22,B884,0
1211,Clémence Teixeira,37,2590.06,M,autre,"avenue de Giraud, 62408 Gilbertboeuf",2023-08-25,A421,0
1212,Zoé Michaud Le Julien,33,3618.13,M,ingénieur,"121, rue de Maillet, 73821 Ledoux",2024-05-06,C946,1
1213,Rémy Legendre Le Allard,62,2434.06,F,ouvrier,"93, chemin Delattre, 12935 Lopez",2024-03-01,C244,1
1214,Patrick Guillot-Chauveau,69,2529.64,F,ingénieur,"91, rue de Leclercq, 19530 Gautier",2025-03-16,B693,1
1215,Xavier-Léon Robert,69,3821.54,M,retraité,"rue Christophe Roger, 01063 Hardy",2023-09-08,D481,0
1216,Catherine Masse de Robin,28,2953.81,M,étudiant,"662, rue Vaillant, 37941 Pottier-sur-Mer",2024-05-22,A271,1
1217,Laurent Dumas-Labbé,74,3521.01,F,étudiant,"rue Hamel, 02797 Saint William",2024-09-21,A753,0
