FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,NAS,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy
Isabelle,Lemoine,1978-09-27,678-106-122,98,150000.0,1,1,2,27.0,0,0,0,0,0,0,86009.0,86108,89006,89775,87725,40788,4031.0,10006,3266,4040,1698,800,0,-0.0803492370885351,157500.0
Martine,Guedon,1983-09-25,515-634-371,99,50000.0,2,3,1,22.0,0,0,0,0,0,0,18722.0,18160,16997,13150,8866,7899,1411.0,1194,379,281,321,197,0,-0.2942724397436542,52500.0
Michèle,Deschamps,1973-11-01,168-112-365,101,140000.0,1,1,2,32.0,-2,-2,-2,-2,-2,-2,672.0,10212,850,415,100,1430,10212.0,850,415,100,1430,0,0,0.3546980013463719,147000.0
Danielle,Moreau,1975-11-05,859-670-357,102,380000.0,2,1,2,30.0,-2,-2,-1,0,0,0,-81.0,-303,32475,32891,33564,34056,223.0,33178,1171,1197,1250,5000,0,0.2474786733483927,399000.0
Georges,Lefebvre,1942-10-10,819-740-809,103,480000.0,1,1,1,63.0,0,0,0,2,2,0,422069.0,431342,479432,487066,471145,469961,16078.0,55693,17000,0,18000,24200,0,-0.3747320244096815,504000.0
Thierry,Lemaire,1979-11-04,921-374-196,105,60000.0,2,2,2,26.0,2,2,2,2,2,0,56685.0,55208,59175,60218,55447,55305,0.0,5000,2511,6,3000,3000,0,1.007964260548232,63000.0
Etienne,Brun,1981-10-19,127-744-943,106,70000.0,2,2,2,24.0,-1,-1,-2,-2,-2,-1,5580.0,0,0,0,0,26529,0.0,0,0,0,26529,2000,0,-0.2206900379468958,73500.0
Philippe,Noël,1969-09-19,513-886-203,107,80000.0,2,2,1,36.0,-1,-1,-1,-1,-1,-1,6108.0,2861,3277,3319,1150,1150,2861.0,3279,3319,1150,1150,1035,0,1.9831605446379383,84000.0
Jean,Demay,1953-09-14,141-764-390,108,350000.0,1,1,2,52.0,-1,-1,-1,-1,-1,-1,713.0,2272,722,867,1150,5263,2272.0,722,867,1150,5263,5011,0,-0.1471628233872755,367500.0
Georges,Renaud,1967-09-29,620-835-138,109,130000.0,1,2,2,38.0,0,0,0,-1,-1,-1,171438.0,178382,39940,120483,44127,126568,10908.0,0,133657,4566,133841,4796,0,0.0997972728478113,136500.0
Marc,Lefevre,1976-09-11,539-137-882,110,360000.0,1,2,1,,1,-2,-2,-2,-2,-2,-103.0,-103,-103,-103,-103,-103,0.0,0,0,0,0,0,0,0.2518765547382783,378000.0
Paul,Dubois,1974-10-15,208-529-520,111,330000.0,2,1,1,31.0,0,0,2,0,0,0,105879.0,108431,105594,105896,106491,107289,9260.0,0,3593,4100,15794,0,0,-0.5020956252973293,346500.0
Michèle,Masson,1958-11-05,445-480-603,112,50000.0,1,3,1,47.0,0,0,2,0,0,0,13244.0,14722,15181,15928,16671,17393,2000.0,1000,1000,1000,1000,1000,0,0.9634105446993262,52500.0
Jean,Mercier,1964-10-08,671-673-609,113,280000.0,1,2,1,41.0,2,2,2,2,2,3,135673.0,138532,134813,144401,152174,149415,6500.0,0,14254,14850,0,5000,0,0.87904055785948,294000.0
Julie,Lefevre,1981-10-12,642-129-677,114,100000.0,2,1,2,24.0,0,0,0,0,0,0,52128.0,52692,54477,56076,60100,59713,2000.0,2677,3076,5080,3000,2033,0,-1.7624624568215796,105000.0
Michèle,Olivier,1964-09-29,874-257-260,115,50000.0,1,2,2,41.0,0,0,0,0,0,0,19015.0,19294,20259,20274,20311,19957,1340.0,1305,700,718,724,684,0,-1.4180572453549385,52500.0
Jacques,Leconte,1977-10-04,467-458-722,117,240000.0,1,1,2,28.0,-1,-1,-1,-1,-1,-1,6520.0,326,326,5676,476,326,326.0,326,5676,476,326,526,0,-2.044741086470331,252000.0
François,Demay,1971-10-02,649-823-502,119,400000.0,1,2,1,34.0,-1,-1,-1,-1,-1,-1,19660.0,9666,11867,7839,14837,7959,9677.0,11867,7839,14837,7959,5712,0,-0.9049738676867064,420000.0
Julie,Deschamps,1967-09-13,748-953-769,120,240000.0,2,2,2,38.0,0,0,0,0,-1,-1,50254.0,51445,53015,52479,1307,1203,2000.0,3000,3000,1307,1203,563,0,-1.3214082295780485,252000.0
Olivier,Renaud,1957-10-22,233-800-776,123,110000.0,2,1,1,48.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.2262784546980131,115500.0
Olivier,Brun,1978-09-30,690-351-305,125,20000.0,1,1,2,27.0,0,0,0,0,0,0,19115.0,18962,19298,19378,19717,15630,1404.0,1130,600,861,313,0,0,0.5282791383886926,21000.0
Christophe,Olivier,1982-09-11,247-607-897,126,20000.0,1,2,2,23.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2.6030488531132447,21000.0
Luc,Mercier,1953-10-04,629-290-284,127,200000.0,1,3,2,52.0,0,0,0,0,0,0,110151.0,99530,98951,100914,103146,104993,3568.0,3585,3602,3848,3669,3784,0,-1.0250957391297335,210000.0
Dominique,Demay,1950-09-17,505-316-187,130,60000.0,1,3,1,55.0,3,2,2,0,0,0,,61450,57244,28853,29510,26547,2504.0,7,1200,1200,1100,1500,0,0.5344620235344723,63000.0
Serge,Dubois,1982-10-19,706-532-373,131,30000.0,2,1,2,23.0,1,-2,-2,-2,-1,-1,4000.0,5645,3508,-27,13744,5906,5645.0,3508,27,13771,5911,3024,0,1.6038966808608368,31500.0
Thierry,Fontaine,1964-10-02,160-181-177,132,240000.0,1,1,2,41.0,1,-1,-1,0,0,-1,95.0,2622,3301,3164,360,1737,2622.0,3301,0,360,1737,924,0,-0.5980428682322555,252000.0
Catherine,Durand,1971-09-20,807-420-651,133,420000.0,1,2,1,34.0,0,0,0,0,0,0,253454.0,247743,229049,220951,210606,188108,9744.0,9553,7603,7830,7253,11326,0,2.622195284390858,441000.0
Marc,Hubbard,1959-10-10,983-635-771,134,330000.0,1,3,1,46.0,0,0,0,0,0,0,227389.0,228719,229644,227587,227775,228203,8210.0,8095,8025,8175,8391,8200,0,0.9585165144141464,346500.0
Paul,Lefevre,1983-10-09,365-748-138,135,300000.0,2,2,2,22.0,0,0,0,0,0,0,28452.0,26145,26712,25350,17603,-780,2000.0,1400,0,500,0,1560,0,-0.8150921903747054,315000.0
Julie,Rousseau,1971-09-14,998-207-838,136,240000.0,1,2,1,34.0,0,0,0,2,2,2,10674.0,12035,13681,13269,14158,13891,1500.0,1800,0,1000,0,327,0,-0.3386339539325847,252000.0
Nathalie,Gillet,1978-10-13,680-362-495,137,150000.0,1,1,2,27.0,0,0,0,0,0,0,17444.0,19342,22000,24614,27200,30229,,3000,3000,3000,3500,5000,0,1.1709760283187636,157500.0
Laure,Renaud,1972-10-25,378-956-628,138,210000.0,2,2,1,33.0,0,0,0,0,0,0,7166.0,7997,8792,9189,4404,5708,1500.0,1500,1000,500,2000,546,0,-0.976421947360174,220500.0
Christophe,Lefebvre,1981-09-12,433-326-291,140,50000.0,1,1,2,24.0,0,0,0,0,0,0,50801.0,50143,49586,19430,19375,18995,2360.0,1700,1000,900,870,2130,0,-1.2404753118663685,52500.0
André,Rousseau,1977-10-18,420-441-127,142,180000.0,1,2,2,28.0,-1,-1,-1,-1,-1,-1,1832.0,0,832,332,416,416,0.0,416,332,500,3500,832,0,-0.4443523243374613,189000.0
Michèle,Bouvier,1982-09-28,413-314-117,143,50000.0,1,2,2,23.0,1,2,2,2,0,0,10131.0,10833,20583,19996,19879,18065,1000.0,10000,400,700,800,600,0,-0.862305616686455,52500.0
Laurent,Bernard,1976-10-18,209-732-592,144,170000.0,1,2,2,29.0,-2,-2,-2,-2,-2,-2,12159.0,10000,10000,10000,9983,15846,,10000,10000,9983,15863,10000,0,1.7144132747630338,178500.0
Olivier,Leroy,1976-10-31,911-675-648,145,20000.0,1,1,2,29.0,-1,-1,-1,-1,0,-1,1199.0,15586,344,2340,6702,339,15586.0,344,2340,4702,339,330,0,-0.3328089298200687,21000.0
Virginie,Lebesgue,1977-11-03,614-369-234,146,50000.0,1,1,2,28.0,0,0,0,0,0,3,4999.0,5913,7315,9195,10624,10138,1000.0,1500,2000,1583,1100,0,0,-0.7709354345142054,52500.0
Sylvie,Brun,1971-10-09,611-500-594,148,200000.0,1,1,2,34.0,1,2,0,0,0,0,197236.0,176192,93069,135668,132233,59875,8000.0,5000,55500,5000,5000,8500,0,-1.5483443437837523,210000.0
Alain,Olivier,1982-10-07,182-818-778,149,80000.0,2,2,1,23.0,1,2,3,2,0,0,9168.0,10522,10205,9898,10123,12034,1650.0,0,0,379,2091,1,0,-1.4954453458217711,84000.0
Olivier,Legrand,1945-09-19,744-178-407,150,260000.0,2,1,1,60.0,1,-2,-1,-1,-1,-1,-1100.0,-1100,21400,0,969,869,0.0,22500,0,969,1000,0,0,-1.6997265944835538,273000.0
Jean,Roux,1973-10-02,720-125-266,151,140000.0,1,2,1,32.0,0,0,0,0,2,0,86627.0,78142,68336,64648,58319,55251,3455.0,3110,5000,0,2100,2602,0,1.9311697062078863,147000.0
Olivier,Lebesgue,1980-09-12,784-944-642,152,80000.0,1,1,2,25.0,0,0,0,0,0,0,42444.0,55744,43476,41087,41951,31826,30000.0,3000,6000,8000,2000,14000,0,0.7151767591732525,84000.0
Laurent,Durand,1964-09-12,560-250-139,153,3500000.0,1,1,2,41.0,1,-1,-1,-1,-1,-2,208.0,2906,1000,630,0,0,2906.0,1000,630,0,0,0,0,1.397375992572116,3675000.0
Véronique,Lebesgue,1949-09-19,899-968-871,154,280000.0,2,2,1,56.0,0,0,0,0,0,0,208775.0,182350,132257,101783,177145,169311,8042.0,6700,5137,100000,7000,6321,0,1.595398430994062,294000.0
Pierre,Lafrance,1979-10-17,692-439-273,155,30000.0,2,3,2,26.0,0,0,0,0,0,0,9014.0,10406,11427,11935,13084,14206,1700.0,1500,1000,1500,1500,1500,0,0.1479663238611468,31500.0
Jean,Renault,1971-11-08,686-653-196,156,140000.0,1,1,1,34.0,0,0,0,0,0,0,23944.0,28049,32073,43129,47086,48699,5000.0,5000,11885,5000,3000,5504,0,-0.3320628348938918,147000.0
Luc,Legrand,1968-09-18,266-297-714,157,200000.0,2,1,2,37.0,0,0,0,0,0,0,105420.0,102870,89643,90938,92505,94031,4000.0,3250,3250,3500,3560,5000,0,1.3952277564098636,210000.0
Danielle,Deschamps,1975-11-05,539-658-777,158,200000.0,2,3,2,30.0,0,0,0,0,0,0,196031.0,196143,189524,167163,146975,122324,7300.0,7108,7680,6200,5000,4500,0,1.2694383718795514,210000.0
Véronique,Durand,1948-11-01,629-613-716,160,50000.0,1,3,1,57.0,3,2,0,0,0,0,12854.0,12362,13447,13427,13711,14083,0.0,1600,500,500,600,600,0,0.2642305402446645,52500.0
Serge,Martin,1964-11-03,201-281-820,161,30000.0,1,1,2,41.0,2,2,2,2,2,0,24357.0,27453,26718,28168,27579,28321,3500.0,0,2200,0,1200,1250,0,-1.304076254850138,31500.0
Alain,Renouard,1978-11-01,955-513-590,162,50000.0,1,2,2,27.0,2,-1,-1,-1,-1,2,390.0,390,780,216,1080,540,390.0,780,216,864,0,390,0,0.228731052017806,52500.0
Paul,Garnier,1958-11-06,315-871-618,163,290000.0,1,3,1,47.0,-1,-1,-1,-1,0,-1,1234.0,396,396,792,396,423,396.0,396,792,0,423,369,0,-0.3917411949343078,304500.0
Philippe,Renouard,1971-10-06,818-668-641,164,250000.0,2,1,1,34.0,0,0,2,0,0,0,141223.0,156858,151841,152803,155997,160220,17994.0,0,5469,5656,6811,3920,0,-2.158217852585094,262500.0
