nom_complet,genre,pays,age,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,dernier_dispositif,derniere_connexion,churn,jour_semaine,mois
Sherry Johnson MD,Femme,Maroc,57.0,40728.87,Premium,5.5,21,Mobile,2025-05-18 01:35:29,1,6,5
Dennis Gomez,Homme,Canada,29.0,35989.03,Premium,17.6,22,SmartTV,2025-02-05 02:54:27,0,2,2
Jennifer Mccullough,Femme,Algérie,43.0,36185.84,Standard,1.7,28,SmartTV,2025-05-17 06:59:13,0,5,5
Gary Smith,Femme,Belgique,40.0,40021.76,Premium,13.4,35,PC,2025-05-23 22:19:11,0,4,5
David Whitehead,Homme,Canada,50.0,49071.22,Premium,24.0,20,Mobile,2025-06-04 06:21:09,0,2,6
Belinda Baker,Homme,Canada,43.0,32927.62,Premium,13.9,22,PC,2025-01-28 22:56:24,1,1,1
Kimberly Harding,Femme,France,66.0,50195.23,Familial,27.4,29,Tablette,2025-01-14 02:50:24,0,1,1
Ana Ramos,Homme,Belgique,36.0,40728.87,Standard,11.9,24,SmartTV,2025-06-17 23:09:33,1,1,6
Keith Burke,Homme,Canada,56.0,32642.86,Standard,11.2,32,Mobile,2025-07-02 19:14:08,1,2,7
Noah Ramirez,Homme,Belgique,55.0,34800.36,Premium,1.2,23,Inconnu,2025-05-11 17:11:38,1,6,5
John Rios,Femme,Maroc,61.0,42445.87,Familial,1.7,15,SmartTV,2025-01-27 09:20:32,0,0,1
Frank Rowland,Homme,Canada,66.0,9227.9,Standard,11.4,34,Mobile,2025-04-09 04:29:24,0,2,4
Joseph Lam,Femme,Canada,20.0,53712.71,Standard,42.1,24,Mobile,2025-03-21 15:31:11,0,4,3
Jennifer Nguyen,Femme,France,45.0,44101.07,Familial,16.2,33,PC,2025-04-21 07:29:32,0,0,4
Rachel Hart,Femme,France,62.0,62514.05,Premium,14.36419689119171,23,PC,2025-05-22 15:31:23,0,3,5
Richard Andrews,Femme,Canada,52.0,44109.48,Familial,12.3,29,Mobile,2025-05-24 00:00:40,0,5,5
David Cooke,Femme,Algérie,18.0,62938.36,Standard,1.7,25,PC,2025-04-08 19:17:58,0,1,4
Tracey Gonzalez,Homme,Maroc,34.0,57868.54,Standard,0.2,26,Tablette,2025-04-01 12:31:19,0,1,4
Stacie Monroe,Homme,Algérie,47.0,50533.9,Familial,2.2,25,Inconnu,2025-04-15 08:25:55,0,1,4
Nicole Lee,Femme,Maroc,60.0,44399.18,Standard,31.8,27,Mobile,2025-06-27 08:44:58,0,4,6
Samantha Olsen,Femme,Belgique,39.0,28721.44,Premium,3.2,25,PC,2025-01-24 04:51:01,0,4,1
Alison Maxwell,Femme,Maroc,65.0,50216.25,Standard,3.3,25,SmartTV,2025-02-15 04:24:50,0,5,2
Charles Moore,Femme,Maroc,24.0,32555.64,Premium,0.4,23,PC,2025-01-23 18:43:58,0,3,1
Mariah Gilmore,Homme,Canada,56.0,21273.93,Premium,6.1,25,SmartTV,2025-01-20 20:43:26,0,0,1
Kendra Keller,Homme,France,58.0,42480.27,Premium,3.9,23,Mobile,2025-01-24 07:41:37,1,4,1
Nicole York,Femme,Canada,20.0,43245.48,Standard,48.8,30,SmartTV,2025-06-10 18:41:06,1,1,6
Joanne Pacheco,Homme,France,68.0,39397.14,Standard,17.4,29,PC,2025-05-31 02:29:40,0,5,5
Patrick Bruce,Homme,Algérie,30.0,38217.38,Standard,64.4,30,PC,2025-02-16 06:46:22,0,6,2
Lisa Foster,Femme,Maroc,47.0,35110.48,Premium,7.4,23,Mobile,2025-03-14 15:30:10,1,4,3
Justin Hernandez,Homme,Belgique,31.0,34690.81,Premium,33.4,26,PC,2025-04-03 09:53:14,1,3,4
Ruth Ramsey,Homme,Canada,40.0,45504.52,Standard,7.0,15,SmartTV,2025-01-22 23:06:30,0,2,1
Jason Rivera,Homme,France,69.0,47593.38,Premium,2.3,21,SmartTV,2025-05-10 11:36:46,1,5,5
Anthony Moore,Homme,Canada,55.0,67248.31,Premium,13.0,26,PC,2025-02-08 18:22:15,0,5,2
Mallory Shaffer,Homme,Algérie,53.0,40728.87,Standard,3.6,22,Mobile,2025-01-08 04:42:21,0,2,1
Alexandra Newton DDS,Femme,Algérie,60.0,44298.06,Premium,35.8,19,SmartTV,2025-06-09 15:44:52,0,0,6
Mr. Joseph Rodgers,Homme,Maroc,40.0,32470.97,Familial,5.7,21,PC,2025-02-09 20:25:52,0,6,2
Sheryl Mccormick MD,Homme,France,58.0,34055.33,Familial,35.9,25,Mobile,2025-06-17 04:17:28,1,1,6
Ms. Marie Blackwell,Femme,Canada,24.0,31380.36,Standard,14.36419689119171,24,SmartTV,2025-03-13 20:12:15,0,3,3
Thomas Savage,Femme,Belgique,47.0,50870.65,Familial,3.2,26,SmartTV,2025-06-04 13:09:41,0,2,6
Alexis Jordan,Femme,France,47.0,35887.75,Familial,6.5,27,Mobile,2025-02-21 05:44:25,0,4,2
Matthew Jackson,Homme,Canada,20.0,35542.71,Standard,1.5,20,Mobile,2025-01-31 04:32:41,0,4,1
Katrina Perry,Homme,Maroc,33.0,27027.24,Familial,0.2,20,SmartTV,2025-01-19 11:45:57,0,6,1
Jason Mccarthy,Homme,Belgique,37.0,47391.23,Standard,0.5,23,PC,2025-04-19 17:27:43,0,5,4
Hannah Warren,Non précisé,Algérie,41.0,43413.67,Standard,9.3,29,Mobile,2025-04-09 12:08:01,0,2,4
Timothy Baldwin,Femme,France,46.0,40462.62,Standard,34.4,26,SmartTV,2025-02-06 12:35:24,1,3,2
Olivia Dixon,Femme,France,39.0,59446.4,Standard,34.4,23,Mobile,2025-05-09 00:39:49,0,4,5
Marie Santos,Femme,Algérie,68.0,58845.94,Standard,6.2,22,SmartTV,2025-03-19 06:39:26,1,2,3
Matthew Diaz MD,Homme,Canada,53.0,43402.7,Standard,2.4,25,SmartTV,2025-01-02 06:48:42,0,3,1
Carlos Parker,Homme,Canada,56.0,36632.61,Standard,48.1,17,Tablette,2025-04-19 11:42:15,1,5,4
Ashley Martin,Homme,Canada,64.0,55414.4,Premium,55.2,27,SmartTV,2025-06-21 18:12:17,0,5,6
Gary Kelley,Homme,Canada,40.0,48268.43,Standard,1.8,20,PC,2025-03-01 06:17:16,0,5,3
Stephanie Parker,Femme,Maroc,35.0,56174.27,Premium,9.2,25,SmartTV,2025-02-27 06:39:06,1,3,2
Haley Jackson,Homme,Canada,30.0,55568.87,Premium,3.7,32,SmartTV,2025-04-06 18:25:17,1,6,4
Dillon Stanton,Homme,Algérie,46.0,33881.71,Familial,58.0,24,Mobile,2025-04-16 11:13:11,0,2,4
Kenneth Evans,Femme,France,21.0,10184.66,Standard,33.8,18,Tablette,2025-03-01 11:59:09,1,5,3
Melissa Lopez,Femme,Algérie,43.761429322122964,42921.95,Standard,19.0,23,PC,2025-06-02 20:36:35,0,0,6
Thomas Fields,Femme,Canada,43.0,40728.87,Familial,22.6,20,SmartTV,2025-01-04 08:21:13,0,5,1
Michael Price,Homme,France,34.0,33373.32,Premium,12.6,21,Tablette,2025-04-20 20:52:43,1,6,4
Shannon Perez,Non précisé,France,57.0,50889.94,Premium,11.0,29,Mobile,2025-06-18 22:45:45,0,2,6
Frederick Diaz,Femme,Belgique,60.0,40728.87,Standard,16.8,24,PC,2025-04-01 15:46:48,0,1,4
Katie Thompson,Homme,France,53.0,30270.69,Standard,5.5,18,PC,2025-03-29 19:29:19,0,5,3
Stephanie Edwards MD,Femme,France,43.761429322122964,50347.16,Premium,37.6,35,Mobile,2025-01-26 06:15:01,0,6,1
Taylor Ford,Femme,France,18.0,64244.82,Standard,1.0,23,Mobile,2025-03-28 06:02:31,0,4,3
Amber King,Femme,Algérie,34.0,31121.51,Premium,24.5,21,Tablette,2025-03-03 02:20:20,0,0,3
Ashley Davis,Homme,Belgique,37.0,50774.66,Standard,0.4,23,Tablette,2025-02-06 22:48:13,0,3,2
Monica Mitchell,Homme,Belgique,25.0,37521.19,Premium,13.8,27,Mobile,2025-02-15 08:36:56,0,5,2
Walter Welch,Homme,Algérie,26.0,31110.01,Standard,22.4,24,Mobile,2025-02-12 14:05:02,0,2,2
Kimberly Case,Homme,Maroc,62.0,40728.87,Familial,18.0,19,Mobile,2025-04-20 05:07:13,0,6,4
Diane Manning,Femme,Canada,27.0,52277.69,Familial,6.2,28,SmartTV,2025-02-17 20:29:59,1,0,2
Kirk Jackson,Femme,Maroc,23.0,41099.03,Premium,5.0,36,SmartTV,2025-01-20 10:31:56,0,0,1
Chase Villanueva,Homme,Algérie,23.0,64903.13,Premium,1.2,21,Mobile,2025-06-29 19:14:12,1,6,6
John Rivera,Femme,Belgique,49.0,31729.75,Premium,14.36419689119171,20,Mobile,2025-02-16 15:35:10,0,6,2
Daniel Mcbride,Femme,Belgique,48.0,44602.53,Premium,9.8,25,Mobile,2025-07-03 16:39:59,0,3,7
Jon Brown,Homme,Algérie,23.0,40728.87,Standard,6.2,24,PC,2025-04-08 23:32:08,0,1,4
Stephen Leblanc,Homme,France,61.0,8681.9,Standard,1.4,26,Mobile,2025-02-20 04:42:04,0,3,2
Amanda Rosales,Femme,Algérie,19.0,44542.83,Premium,12.8,21,SmartTV,2025-03-02 12:00:45,0,6,3
Lauren Andrews,Femme,Algérie,47.0,40728.87,Standard,6.2,27,PC,2025-02-28 17:34:57,0,4,2
Thomas Lynch,Femme,Algérie,37.0,24880.96,Premium,38.6,18,Mobile,2025-01-25 02:41:00,0,5,1
Brian Jones,Femme,France,43.761429322122964,41672.11,Premium,10.1,27,Mobile,2025-03-13 02:56:27,0,3,3
Jennifer Murphy,Femme,France,38.0,45430.42,Standard,28.4,28,SmartTV,2025-05-10 18:49:51,0,5,5
Norman Jacobson,Homme,Canada,29.0,47416.34,Premium,12.1,19,PC,2025-02-13 23:15:26,1,3,2
Dean Leonard,Homme,Belgique,30.0,41692.44,Premium,20.3,24,Mobile,2025-07-08 06:20:50,1,1,7
Jack Mann,Femme,Canada,38.0,24663.73,Standard,8.3,23,SmartTV,2025-01-28 08:49:59,0,1,1
Lauren Bailey,Homme,Canada,20.0,40728.87,Familial,34.4,18,Mobile,2025-01-10 00:21:17,0,4,1
Robert Lewis,Femme,France,43.761429322122964,40728.87,Standard,38.1,17,Mobile,2025-07-06 08:00:59,0,6,7
Kristine Grimes,Homme,Maroc,25.0,44705.01,Premium,4.5,18,Mobile,2025-02-26 04:38:56,0,2,2
John Warren,Homme,Canada,59.0,38273.85,Familial,6.5,18,SmartTV,2025-03-25 03:34:44,0,1,3
Cassidy Schwartz,Homme,France,41.0,49554.51,Familial,6.1,29,SmartTV,2025-02-25 12:26:58,0,1,2
Dwayne Giles MD,Femme,Algérie,27.0,25748.82,Familial,3.4,27,Mobile,2025-02-03 01:21:14,0,0,2
Andrew Farmer,Homme,France,52.0,43717.85,Standard,8.3,30,Tablette,2025-03-28 15:23:08,1,4,3
Steve Neal,Femme,Belgique,50.0,19753.01,Premium,8.2,28,Mobile,2025-06-04 05:45:48,0,2,6
Adriana Martinez,Homme,Algérie,20.0,24962.5,Standard,14.36419689119171,24,Mobile,2025-01-02 11:07:38,1,3,1
Steven Hines,Homme,Canada,47.0,36398.87,Standard,19.7,30,Mobile,2025-05-16 10:46:41,0,4,5
Amanda White,Femme,France,58.0,41046.24,Standard,8.3,25,Inconnu,2025-03-30 08:06:36,1,6,3
Carrie Anderson,Femme,Canada,59.0,48497.07,Premium,10.6,19,Mobile,2025-03-17 03:48:37,0,0,3
Joel Marks,Femme,Maroc,43.761429322122964,48547.26,Premium,5.3,19,Mobile,2025-04-24 14:51:40,1,3,4
Erin Wallace,Homme,Belgique,51.0,41442.71,Standard,46.2,39,SmartTV,2025-03-31 10:51:25,0,0,3
Laura Murray,Femme,Belgique,60.0,28401.8,Premium,8.6,21,Mobile,2025-03-19 01:04:09,0,2,3
Levi Wilson,Homme,Algérie,50.0,40728.87,Familial,13.4,27,Mobile,2025-01-30 08:20:03,1,3,1
Mary Adams,Femme,Belgique,52.0,54493.71,Premium,0.2,25,PC,2025-04-21 10:48:58,0,0,4
Nicole Guerrero,Homme,Canada,30.0,36200.2,Standard,22.6,25,SmartTV,2025-02-16 04:54:19,1,6,2
Courtney Ramsey,Femme,France,21.0,48788.14,Premium,27.5,37,SmartTV,2025-01-24 11:42:57,1,4,1
Kathryn Figueroa,Homme,Belgique,50.0,25140.45,Familial,8.7,27,SmartTV,2025-05-07 16:21:51,0,2,5
Jean Steele,Homme,Maroc,22.0,64160.65,Standard,17.6,16,PC,2025-01-09 05:44:55,0,3,1
Elizabeth Roberts,Femme,Maroc,69.0,41638.42,Standard,2.7,27,Mobile,2025-06-11 21:16:04,0,2,6
Donna Thompson,Homme,Algérie,51.0,36990.0,Familial,3.6,24,Tablette,2025-02-12 21:15:43,0,2,2
Brian Green,Femme,Maroc,63.0,48954.25,Premium,14.2,26,Mobile,2025-06-27 02:05:36,1,4,6
Jennifer Barnes,Femme,Algérie,46.0,35677.68,Premium,1.3,25,SmartTV,2025-03-26 23:26:46,1,2,3
Scott Burton,Homme,Maroc,36.0,41952.04,Standard,2.5,30,Mobile,2025-06-01 18:21:31,0,6,6
Cheryl Ware,Homme,France,60.0,29724.32,Familial,13.4,23,PC,2025-05-01 12:03:58,1,3,5
Jared Matthews,Homme,Canada,51.0,53516.4,Premium,9.8,23,Mobile,2025-01-04 02:23:05,0,5,1
Logan Fernandez,Homme,Belgique,27.0,49408.4,Premium,1.4,25,SmartTV,2025-01-12 01:04:15,0,6,1
Thomas Hampton,Homme,France,47.0,49340.33,Standard,0.8,30,SmartTV,2025-02-03 09:54:19,0,0,2
Jeffrey Sutton,Femme,Canada,50.0,33385.77,Premium,14.36419689119171,34,SmartTV,2025-02-24 15:06:38,1,0,2
Justin Deleon,Femme,Algérie,28.0,44274.0,Premium,12.3,29,Mobile,2025-01-18 15:19:34,0,5,1
Brian Skinner,Femme,Algérie,66.0,40728.87,Premium,14.0,29,Mobile,2025-01-04 05:48:17,0,5,1
Lisa Foster,Femme,Algérie,41.0,28551.26,Standard,6.5,31,PC,2025-06-26 20:51:34,0,3,6
Nicole Jones,Homme,Maroc,38.0,28556.74,Standard,32.2,14,PC,2025-04-19 11:38:47,1,5,4
Richard Brown,Femme,Maroc,40.0,40728.87,Premium,6.0,19,PC,2025-01-10 12:16:40,0,4,1
John Phelps,Homme,Belgique,51.0,68977.49,Premium,11.1,21,Mobile,2025-05-08 08:21:38,0,3,5
Jose Nichols,Femme,France,51.0,59591.83,Premium,1.7,25,SmartTV,2025-06-17 19:07:21,1,1,6
Tamara Alexander,Homme,Belgique,32.0,36869.05,Standard,14.36419689119171,29,SmartTV,2025-06-29 09:49:34,1,6,6
Shane Mann,Homme,Algérie,52.0,52460.67,Premium,46.7,25,SmartTV,2025-06-27 18:21:11,0,4,6
Laura Thompson,Homme,France,59.0,46065.09,Standard,13.3,32,SmartTV,2025-03-04 08:07:32,0,1,3
Shawn Lewis,Femme,France,48.0,27189.61,Premium,1.4,30,Tablette,2025-03-26 16:29:36,0,2,3
Robin Silva,Femme,France,23.0,36356.06,Premium,6.2,30,PC,2025-02-09 02:03:56,1,6,2
Wesley Manning,Femme,Belgique,52.0,16536.68,Premium,19.3,27,SmartTV,2025-03-19 15:21:38,1,2,3
Brandon Bell,Homme,Algérie,33.0,28922.41,Standard,1.1,23,Mobile,2025-01-14 13:41:46,0,1,1
James Walton,Homme,Belgique,63.0,46045.82,Standard,23.1,33,Mobile,2025-04-15 16:10:23,0,1,4
Brett Huang,Femme,Algérie,25.0,55690.95,Standard,7.7,39,Tablette,2025-02-06 12:43:01,1,3,2
Todd Johnson,Homme,Algérie,43.761429322122964,35472.66,Premium,13.9,27,Mobile,2025-06-06 05:32:24,0,4,6
Darren Thornton,Femme,Canada,50.0,49599.3,Standard,19.0,27,Mobile,2025-01-03 11:44:15,0,4,1
Bryan Fitzgerald,Femme,Canada,65.0,20604.27,Standard,27.1,26,Tablette,2025-06-07 20:33:56,0,5,6
Patricia Sawyer,Homme,Canada,25.0,18279.61,Premium,12.9,24,SmartTV,2025-01-29 22:20:44,0,2,1
Ana Bray,Femme,Algérie,45.0,31744.79,Standard,4.3,21,Mobile,2025-02-07 06:08:45,0,4,2
Valerie Taylor,Homme,Maroc,25.0,9978.37,Premium,8.9,25,PC,2025-03-04 05:11:40,0,1,3
James Williams,Homme,Algérie,50.0,21600.7,Premium,10.1,34,SmartTV,2025-02-09 21:15:58,0,6,2
Elizabeth Smith,Femme,Canada,56.0,35210.66,Standard,7.4,28,PC,2025-06-05 09:29:01,1,3,6
Mr. John Howard,Homme,Canada,44.0,32165.24,Familial,0.6,21,SmartTV,2025-06-08 04:49:31,0,6,6
Derrick Smith,Homme,Algérie,66.0,40728.87,Premium,15.9,26,Tablette,2025-04-05 03:15:10,0,5,4
Richard Lee,Homme,Algérie,23.0,32199.97,Standard,10.7,22,Mobile,2025-01-19 05:00:17,0,6,1
Kathleen Fletcher,Homme,Canada,40.0,37976.92,Standard,1.1,31,Mobile,2025-05-23 14:07:40,0,4,5
Jillian Rivera,Homme,Canada,40.0,32227.74,Standard,12.9,28,SmartTV,2025-01-31 21:15:20,0,4,1
Kathleen White,Homme,Canada,64.0,40594.94,Standard,1.0,22,Mobile,2025-04-14 13:28:15,0,0,4
Michael Kelly,Non précisé,Canada,48.0,38063.87,Premium,0.4,38,Mobile,2025-06-18 15:53:36,0,2,6
Christina Gross,Femme,France,23.0,18354.62,Standard,43.7,32,Inconnu,2025-01-07 08:13:03,0,1,1
Robert Hardy,Non précisé,Algérie,34.0,35740.15,Premium,2.3,26,SmartTV,2025-01-01 09:36:10,0,2,1
Wendy Powell,Femme,Maroc,66.0,26623.78,Premium,2.5,30,PC,2025-03-22 01:59:11,0,5,3
Tiffany Spence,Femme,France,36.0,48955.12,Standard,9.0,33,PC,2025-03-20 01:30:14,0,3,3
Jessica Fields,Homme,Algérie,22.0,40728.87,Standard,14.36419689119171,25,Mobile,2025-03-04 13:21:27,0,1,3
Steven Wyatt,Femme,Maroc,28.0,35564.68,Premium,31.5,24,PC,2025-05-10 03:02:40,0,5,5
James Rivera,Non précisé,Algérie,62.0,47122.68,Familial,0.3,28,Mobile,2025-01-28 03:40:53,0,1,1
Andrew Montgomery DDS,Femme,France,58.0,4715.34,Standard,14.36419689119171,28,Mobile,2025-01-23 23:49:11,0,3,1
Adam Baker,Homme,Canada,32.0,49604.91,Premium,26.2,17,SmartTV,2025-06-09 05:06:59,0,0,6
Jordan Odonnell,Femme,Maroc,25.0,49051.5,Familial,1.1,25,SmartTV,2025-05-11 12:55:59,1,6,5
Dennis Barrett,Homme,Algérie,19.0,20709.28,Standard,22.8,24,SmartTV,2025-03-09 11:01:38,0,6,3
Pamela Collins,Homme,Belgique,30.0,30847.3,Premium,1.8,25,SmartTV,2025-06-26 20:10:56,0,3,6
Alexis Reynolds DVM,Homme,France,45.0,26985.59,Standard,34.8,23,PC,2025-03-11 02:52:25,0,1,3
Jo Webb,Femme,Canada,32.0,27805.01,Premium,17.6,32,Mobile,2025-02-11 05:28:52,1,1,2
Jorge Collier,Femme,Algérie,28.0,42218.81,Premium,33.3,24,SmartTV,2025-03-17 14:59:55,0,0,3
Dorothy Norton,Femme,Belgique,50.0,27364.42,Premium,2.1,32,Mobile,2025-07-04 09:54:04,0,4,7
Richard Andrews,Homme,Canada,38.0,39957.9,Familial,9.0,27,PC,2025-05-20 10:13:34,0,1,5
David Fox,Homme,Algérie,48.0,28359.95,Familial,18.4,34,Tablette,2025-05-16 04:14:06,0,4,5
Taylor Tucker,Homme,Canada,53.0,41361.63,Premium,11.0,28,PC,2025-03-09 13:22:34,0,6,3
Kayla Brooks,Homme,Maroc,42.0,36270.95,Familial,4.3,32,PC,2025-05-23 14:06:17,0,4,5
Elizabeth Fernandez,Femme,Canada,57.0,42779.78,Standard,6.4,24,PC,2025-04-22 01:16:53,0,1,4
Paul Lewis,Homme,Algérie,33.0,53174.11,Premium,29.6,26,Mobile,2025-01-15 08:56:59,0,2,1
Jonathon Hanna,Femme,Canada,34.0,20281.73,Standard,13.6,26,SmartTV,2025-05-09 04:56:48,0,4,5
Melissa Hammond,Homme,Maroc,18.0,37191.76,Familial,17.2,19,SmartTV,2025-07-01 03:31:32,0,1,7
Jennifer Young,Homme,Maroc,51.0,45596.3,Premium,1.1,30,SmartTV,2025-05-23 19:26:45,0,4,5
Carolyn Parks,Femme,Belgique,25.0,40728.87,Standard,14.36419689119171,26,SmartTV,2025-05-16 00:10:47,0,4,5
Anthony Rodriguez,Homme,France,23.0,47062.64,Familial,40.3,29,PC,2025-04-14 01:08:33,0,0,4
Ricardo Mora,Homme,Canada,37.0,39923.78,Standard,6.2,21,Mobile,2025-01-18 09:31:30,1,5,1
Jason Foley,Homme,Maroc,39.0,58747.06,Premium,15.2,22,Inconnu,2025-02-18 18:29:54,0,1,2
April Tucker,Homme,Canada,20.0,40728.87,Premium,6.2,21,SmartTV,2025-02-13 05:15:52,0,3,2
Carol Thornton,Femme,Belgique,37.0,41804.87,Standard,0.6,22,SmartTV,2025-05-23 10:04:41,0,4,5
Diana Williams,Homme,France,68.0,40728.87,Familial,7.6,25,SmartTV,2025-01-03 03:19:47,0,4,1
Travis Novak,Femme,Algérie,63.0,36513.1,Familial,9.9,22,SmartTV,2025-01-09 08:49:03,0,3,1
Christina Romero,Homme,Belgique,69.0,48282.84,Standard,3.6,22,PC,2025-07-04 03:18:57,1,4,7
Steven Jefferson,Femme,Algérie,64.0,9299.58,Premium,31.7,21,Mobile,2025-03-29 02:22:09,1,5,3
Sarah Phillips,Femme,Belgique,38.0,24520.17,Standard,4.4,21,Mobile,2025-05-13 17:24:05,1,1,5
Jerry Johnson,Homme,Maroc,38.0,18406.43,Premium,14.36419689119171,24,Mobile,2025-03-21 00:38:40,1,4,3
Richard Williams,Femme,France,56.0,37540.91,Standard,3.4,19,SmartTV,2025-06-18 05:42:14,0,2,6
Nathan Potter,Homme,Canada,20.0,39185.47,Standard,33.2,29,SmartTV,2025-02-02 05:38:34,1,6,2
Daniel Gilmore,Femme,Maroc,46.0,46007.99,Premium,17.7,20,Mobile,2025-02-26 17:34:28,0,2,2
Maria Townsend,Homme,Algérie,48.0,40597.28,Familial,15.6,21,PC,2025-04-12 11:30:35,1,5,4
Janet Garcia,Femme,Algérie,50.0,27970.34,Premium,5.7,24,Mobile,2025-04-08 18:56:44,0,1,4
Pamela Collins,Homme,Belgique,19.0,26778.48,Standard,21.5,18,SmartTV,2025-04-16 08:08:32,1,2,4
Randall Fitzgerald,Femme,France,43.761429322122964,40393.56,Standard,1.7,29,Mobile,2025-02-09 03:25:53,0,6,2
Brenda Chavez,Femme,France,51.0,30898.06,Standard,15.0,26,Tablette,2025-05-29 13:59:00,0,3,5
Melissa Snow,Femme,Algérie,36.0,24405.03,Standard,4.0,28,Mobile,2025-02-24 16:46:07,0,0,2
Mark Greene,Homme,Canada,36.0,49956.79,Familial,18.7,20,SmartTV,2025-06-25 10:17:42,0,2,6
Jessica Scott,Femme,Algérie,24.0,46864.69,Familial,2.9,43,SmartTV,2025-05-05 03:45:46,0,0,5
Tanya Thomas,Homme,Canada,45.0,39253.71,Premium,14.36419689119171,21,PC,2025-02-10 11:03:37,0,0,2
Cindy Vaughn,Homme,Belgique,40.0,28322.62,Premium,12.6,22,SmartTV,2025-06-25 10:44:22,0,2,6
Jessica Chavez,Homme,Maroc,27.0,17470.69,Standard,4.8,24,Mobile,2025-05-17 05:31:44,1,5,5
Michael Gonzalez,Homme,Belgique,26.0,34955.26,Premium,25.1,25,SmartTV,2025-07-05 21:05:06,0,5,7
Sharon Nelson,Homme,France,30.0,56351.4,Standard,9.5,24,Mobile,2025-05-10 09:57:54,0,5,5
Michelle Diaz,Femme,France,45.0,41628.62,Standard,4.8,21,Mobile,2025-01-05 08:56:50,0,6,1
Elizabeth Brady,Homme,Canada,62.0,41978.92,Standard,5.5,25,Mobile,2025-05-20 18:22:41,0,1,5
Martin Lopez,Homme,Maroc,56.0,45012.08,Familial,19.3,27,Mobile,2025-02-27 03:30:25,0,3,2
Matthew Brown,Femme,Belgique,34.0,50163.97,Premium,21.8,26,PC,2025-07-02 11:36:21,1,2,7
Abigail Martin,Femme,Algérie,68.0,69120.6,Standard,6.9,27,SmartTV,2025-07-05 20:14:17,0,5,7
Christina Collins,Homme,France,18.0,45195.52,Premium,12.0,35,Tablette,2025-04-17 00:57:08,0,3,4
Deborah Freeman,Non précisé,Canada,24.0,48989.08,Standard,21.0,31,PC,2025-04-08 14:10:24,0,1,4
Wanda Moore,Homme,Canada,45.0,53305.46,Premium,29.0,18,SmartTV,2025-06-05 15:32:52,1,3,6
Susan Ryan,Femme,France,30.0,34512.38,Standard,11.5,20,Mobile,2025-02-08 15:38:12,0,5,2
Kimberly Vaughn,Femme,Algérie,28.0,47818.26,Standard,22.9,26,SmartTV,2025-06-11 12:07:53,1,2,6
Ann Wilson,Homme,France,69.0,26347.77,Premium,19.0,29,PC,2025-03-25 18:08:55,0,1,3
Craig Singh,Homme,France,29.0,28146.03,Standard,3.9,24,Mobile,2025-04-29 01:17:28,0,1,4
Dr. John Nelson,Homme,Algérie,68.0,51198.79,Premium,4.4,27,Mobile,2025-02-20 06:07:04,0,3,2
Tyler Jenkins,Femme,Algérie,24.0,52534.17,Premium,2.9,28,Mobile,2025-05-23 13:37:16,0,4,5
